observable,log_indicator,latent_factor,loading,delta_log_indicator,total_effect_on_over,delta_over_logodds
demand_total,log_demand_total,Demand,1.0,0.6931471805599453,0.7303887609521621,0.506266910366663
demand_cv,log_demand_cv,Demand,0.6958932718301203,0.6931471805599453,0.7303887609521621,0.727506545702387
lead_time_mean_days,log_lead_time_mean,Supply,1.0,0.6931471805599453,1.41433275032013,0.9803407582579912
lead_time_cv,log_lead_time_cv,Supply,0.6939041156541639,0.6931471805599453,1.41433275032013,1.4127899462504196
eoq_mean,log_eoq_mean,Batchiness,1.0,0.6931471805599453,0.8693144605721945,0.6025628673656064
eoq_cv,log_eoq_cv,Batchiness,0.5989067121903172,0.6931471805599453,0.8693144605721945,1.0061047156441407
interorder_time_mean_days,log_interorder_time_days,Batchiness,0.7108739172125415,0.6931471805599453,0.8693144605721945,0.847636764798403
rop_mean,log_rop_mean,Buffering,1.0,0.6931471805599453,0.6846658833428481,0.4745742266646795
rop_cv,log_rop_cv,Buffering,0.7031654832562922,0.6931471805599453,0.6846658833428481,0.674911152445896
