lval,op,rval,Estimate,Std. Err,z-value,p-value
Batchiness,~,Demand,-0.008611932199792777,0.014573411693780168,-0.590934530647848,0.5545642882763762
Batchiness,~,Supply,0.011391400042217382,0.017939195214321225,0.6350006176692027,0.5254280121543609
Buffering,~,Demand,-0.007349334408100782,0.16423765049750444,-0.04474817062831586,0.9643080375191375
Buffering,~,Supply,0.08626617211947749,0.17245315034942668,0.5002296098632218,0.6169134113905554
Buffering,~,Batchiness,16.955337135890908,23.356951576209116,0.7259225194935336,0.46788627033614416
log_demand_total,~,Demand,1.0,-,-,-
log_demand_cv,~,Demand,0.8482623826916345,0.9159373680749165,0.9261139595969919,0.3543867600998003
log_lead_time_mean,~,Supply,1.0,-,-,-
log_lead_time_cv,~,Supply,0.2079759272353597,0.0577508719900097,3.6012603804101193,0.00031667821637593185
log_eoq_mean,~,Batchiness,1.0,-,-,-
log_eoq_cv,~,Batchiness,-0.33761706906412087,0.5600686100505441,-0.6028137678222127,0.5466325866920321
log_interorder_time_days,~,Batchiness,26.313217070063736,39.93520405423643,0.6588977743628607,0.5099614151626581
log_rop_mean,~,Buffering,1.0,-,-,-
log_rop_cv,~,Buffering,0.6206388430130918,0.0508857328423043,12.196716217574478,0.0
under_logodds_vs_normal,~,Demand,-0.1651576711686997,0.220119660882737,-0.7503085844564009,0.45306887360013537
under_logodds_vs_normal,~,Supply,0.26039335439331857,0.13713819592936924,1.8987660777273976,0.05759523918798637
under_logodds_vs_normal,~,Batchiness,20.279823353853587,50.6854019780126,0.40011171979361243,0.6890742324899568
under_logodds_vs_normal,~,Buffering,-1.1259956685256172,2.3323333560201354,-0.4827764717332343,0.6292544585001125
over_logodds_vs_normal,~,Demand,0.3314101489413559,0.30192371257873296,1.0976618766034685,0.2723521626855754
over_logodds_vs_normal,~,Supply,0.17714351695575364,0.1597749322104721,1.1087065693214824,0.2675567870176092
over_logodds_vs_normal,~,Batchiness,-32.05540279060973,80.04484952165109,-0.4004680248907054,0.6888118298730221
over_logodds_vs_normal,~,Buffering,2.03666669171871,3.683005968923488,0.5529903315126741,0.5802700307196433
Demand,~~,Supply,-0.8631710528624705,1.347154216868413,-0.6407366298925689,0.5216938111372711
Demand,~~,Demand,9.140873561425463,10.161151793273659,0.8995902971822067,0.36833832264337296
Batchiness,~~,Batchiness,0.11984717797604755,0.33381407679481456,0.3590237389819692,0.7195773304523261
Buffering,~~,Buffering,14.211746278154987,27.731336554507802,0.5124796725978329,0.6083153432374164
Supply,~~,Supply,28.670105038802696,8.211732521097355,3.491358853340725,0.0004805703105896786
under_logodds_vs_normal,~~,over_logodds_vs_normal,-16.906438136794346,62.771702229165584,-0.26933215981737146,0.7876740862546212
under_logodds_vs_normal,~~,under_logodds_vs_normal,72.27419966320042,40.11287296736828,1.8017707114121067,0.0715814875812888
log_demand_cv,~~,log_demand_cv,0.9242813242056399,7.046472174135449,0.13116937119231745,0.8956413248292312
log_demand_total,~~,log_demand_total,84.95082935903179,11.32818738379482,7.499066397908284,6.417089082333405e-14
log_eoq_cv,~~,log_eoq_cv,4.875416083666701,0.3270723782150954,14.906229961264211,0.0
log_eoq_mean,~~,log_eoq_mean,90.9737143543401,6.100429012738204,14.912674856860802,0.0
log_interorder_time_days,~~,log_interorder_time_days,14.020957784004182,66.1806039943774,0.21185901816784822,0.8322170235709563
log_lead_time_cv,~~,log_lead_time_cv,3.609892029657265,0.4129824485270369,8.741030139473818,0.0
log_lead_time_mean,~~,log_lead_time_mean,15.060994865416669,7.8023334541603875,1.9303193017704035,0.053567286904957934
log_rop_cv,~~,log_rop_cv,16.17293932590903,1.6825284672939442,9.61228272821487,0.0
log_rop_mean,~~,log_rop_mean,78.81080519654314,6.250743542625915,12.608228870548478,0.0
over_logodds_vs_normal,~~,over_logodds_vs_normal,46.35431397892384,99.21914579374157,0.46719122209825814,0.6403630732757832
